"Venue","8am/9am","9am/10am","10am/11am","11am/12pm","12pm/1pm","1pm/2pm","2pm/3pm","3pm/4pm","4pm/5pm","5pm/6pm"
"BOO C","","","MCB201","CHE305","","TPD501","ECN201","","","EGL307"
"1000 LT","","","","","","CHM101"
"MBB 115","CPE303","","MEE499","FAA107","CVE407","ESM401","","CHE509","","ZOO203"
"HSLT C","","ACC201","EDU101","","","","","","","MTH201"
"MBB 021","DRA309","ESM307","","","","","","CVE305","DRA301"
"Room 208","ESM305","","","","","BCH403","","","MRH505"
"EDB 317","","","HIS103","CPP301","ECN409","IRS305"
"URP Studio 4","CHM401","PHE201","","EEE511","","URP409","","MEE503","","EFC411"
"Agric. Annex I","MEE409","","","FRN101","SOC315","LGS201","DRA209","LGS205","FST401"
"PY 130","LGS303","CLI213","","","ARC205","","MEE405","SOC403","","CLI221"
"URP Studio 1","","","","URP401","","GPY203","URP509","CSC311","CSC311"
"LLT I (Moot Court)","","REL101","PAD305","","STT201","LGS031"
"LLT II","HIS201","","PSY203","CPE405","","PHC501","","POL313"
"ODLT I","","","","AXD201","","ARC103","BUL301","","JPL401"
"PHE LR I","CPE521","","ARC301","BLD403","FAA301","MEE593","","ARC411","REL401","CPE511"
"220/221","CHE411","EFC403","","QTS211","","","","","ESM505"
"FNS II","ANS205","ARC203","ZOO403","MUS131","GLY417","MUS101","GPY403","FAA349","CVE503","ARC201"
"AFST 212/213","","","","MEE505","MEE507","","FST201","REL303","","DRA405"
"TCH III","DSS305","FNC305","","INL403","","EVH309","LGS401","","LGS309","LGS301"
"ALT C","","LGS037","CSC315","","","","","CLI241"
"CEGLT II","EGL407","PHL209","SOC319","ASE355","REL205","CHE303","QTS213","","FAA209","EEE507"
"Room 206","GPY315","","NSC533","","BOT303","MRH409","","PHL401","","CHE505"
"EDB 315","LIN401","","FST301","PAD403","ESM501","HIS303","PHL309","","SOC401","NSC320"
"MBB 020","","","","","LIT301","","GLY201","","NSC521","SOC415"
"HSCMD L","","","","","","LIN301"
"Room 209","CLI330","","IRS201","CLI310","","ANS301","ECN401","AXD301","","AEC301"
"Room 403 Humanity Block I","LGS035","","","PSY207","","","EEE305","","CHM307"
"LGS LT","","JPL305","","POL305","","BUL505","","ACC103"
"EDB 313","","NSC200","LGS411","LGS203","CHE407","","","LIN407","CLI233","LIN103"
"Marquis","","EEE311","ECN303","","INL503","","CLI511","CHM301"
"Room 202","","ECN309","LIN207","ZOO401","LGS307","BOT305","","","MEE307","LGS041"
"ETF/TEDFUND","","MEE205","EFC201","","","","","","EGL201"
"PY 102","","","","","","","","MRH203","","PAD303"
"TCH II","","","REL305","","","AEC503"
"MBB 119","","","","","","FNC315","MUS141","","GLY307"
"MBB 022","ZOO305","","","CVE409","","","BOT301"
"Room D","","","EEE409","","","DRA205","","PSY303","MCB409","MCB405"
"MBB 114","","PSY407","","","PCA401","PSY401","LIN303"
"FNS I","GMN105","QTS505","QTS411","ARC407","","GLY405","","","HIS407","GLY409"
"MBB 218","FNC307","BLD311","GLY203","","","","GMN101","","FNC413"
"SSLT I","NSC331","","","","","","POL303","","PSY305"
"F13","BLD421","SEC301","","SOC409","URP413","REL103","ESM211","URP405","ARC403"
"Room 402 Humanity Block I","BOT205","PAD409","","AEC505","DSS405","FAA207","","","","BLD303"
"ODLT II","POL201","","PUL301","ECN313","DRA107"
"ICAN LT","PUL203","","","STE301","YOR309","CHM203","EGL309","PHY205","","DCE205"
"CNE Studio","","PHA301"
"ARC Studio 2","","LIN313","ESM113","","","POL405","CVE411"
"Auditorium II","","POL203","ACC309","","CLI240","CLI230","DSS201","SLM201","BIO101"
"Room 203","","DSS309","","NSC451","","","","NSC431","LIN203","DSS403"
"Room A","","","ANS401","","POL207","","","CPP303"
"Room 404 Humanity Block II","ARC405","","","BOT407","PHL415","","EFC409","","BOT403","ASE321"
"CH 102","","","AEC303","","","","BLD203","BLD307","SLM301"
"Ajose LT","ACC205","AEC201","PHL201","DRA101","","EFC413","TPD503","EGL303","","PHL105"
"Auditorium I","","ANS201","CLI220","ACC303","ACC401","ACC405","","","ACC301","CPP201"
"SSC 233","","","DSS421"
"ARC Studio 4","","ASE255","MRH501","PHE207","EFC211","ECN321","","GPY205","IRS415","BCH415"
"HSLT B","","URP103","","EGL405","","","MSE305","JPL403","ECN203","ACC407"
"GRA Studio","","ZOO201"
"Room C","","","AGE401","","IRS101","MCB309","","","EEE301","PSY307"
"AGR Lab","","","","PHL305","","","","","PHL203"
"Amphitheatre","PHL101","","SEO003","","PHY105","","","ZOO101","SEP001"
"F5","FAA101","","DRA303","","","ZOO301","BCH407","BCH401","CSC305","POL401"
"HSLT A","","","","","PSY411"
"URP Studio 3","QTS409","","","","FRN201","ASE251","ARC305","CSC407","","MEE301"
"MBB 219","SOC431","","POL421","GPY303","","DSS409"
"Room 232/233","","","FRN105","","","","CHE517","PHE205","URP101"
"PSC Lab","","","PHC301","","","","","","","HIS301"
"ALT A","","CPE301","","","CHM311","PAD307","SOC301"
"CER Studio","PSY405","","","","","","","QTS315"
"Room 404 Humanity Block I","","","","","","","","PHC401"
"GSCMDL","","","","REL201"
"NCL","","SOC303"
"URP Studio 2","REL203","FAA401","","","PHE203"
"CHS MDL 2","PAD101"
"PY 239","PHE403","","","","","","","","SSC107"
"URP Studio 5","URP503","BOT417","","","","QTS305"
"ARC Studio 3","CVE413","LGS305","LIT305","","","","","DSS311","","ESM403"
"El-Said","","HIS203","","PCL501","","","","","POL301","ECN323"
"ARC Studio 1","IRS413","ICH201","PHY201","YOR101","","","PHE209","BOT411","ASE253","URP411"
"CEGLT I","","","MSE411","HIS101","","","","DRA207","PAD401"
"Room B","","MCB407","","MCB307","","EEE303","IRS303","","GPY201"
"Room 205","","","","","","NSC411","","","","QTS113"
"BOO B","MCB403","","","","","SOC309","","PAD207"
"HSN Lab","EEE411"
"Seminar Room II","","","GPY407","GLY415","","","","","","MTH301"
"SSLT II","","","","","ASE401","","PCG201","","","MRH201"
"BLD Lab","PHY203","","","","","","REL301"
"ZO. 122","PHA401","","","","","","CSC415"
"CH 220","BCH301","","FNC301","","BLD405","MTH205","FNC303","","BLD401"
"ESM Studio","","","","","","BLD205"
"MBB 116","MRH421","DRA307","FAA105","MRH403","GPY311","","","","BCH405","FST311"
"FNT Studio","","","","CHM305","","STE403","","FST305"
"Room 201","","","","","PAD203","PHL301","CPP407","ESM203","ANS407"
"Room 204","","LIT303","","MTH207","","","","","STE401"
"BCG 17","","IRS403","","","","","HIS211","EEE307"
"AGE DRG","ECN403"
"XER Studio","","","","IRS407"
"SCU Studio","","DCE201","","","","","","","","PCL401"
"TCH I","","CVE405","","","","DCE405","MRH419","","SVG101"
"ALT B","","","","","","","","ECN411","PHA501"
"Agric. Annex II","","GPY405","","","EEE521","","","MUS111","","MUS121"
"BCG 29","","","","","HIS205"
"Chemical Engineering LT","","MSE201","","EFC203"
